Club,País
FC Barcelona,España
Juventus,Italia
Paris Saint-Germain,Francia
Manchester United,Inglaterra
Manchester City,Inglaterra
Chelsea,Inglaterra
Real Madrid,España
Atlético Madrid,España
FC Bayern München,Alemania
Tottenham Hotspur,Inglaterra
Liverpool,Inglaterra
Napoli,Italia
Arsenal,Inglaterra
Milan,Italia
Inter,Italia
Lazio,Italia
Borussia Dortmund,Alemania
Vissel Kobe,Japón
Olympique Lyonnais,Francia
Roma,Italia
Valencia CF,España
Guangzhou Evergrande Taobao FC,China
FC Porto,Portugal
FC Schalke 04,Alemania
Beşiktaş JK,Turquía
LA Galaxy,Estados Unidos
Sporting CP,Portugal
Real Betis,España
Olympique de Marseille,Francia
RC Celta,España
Bayer 04 Leverkusen,Alemania
Real Sociedad,España
Villarreal CF,España
Sevilla FC,España
SL Benfica,Portugal
AS Saint-Étienne,Francia
AS Monaco,Mónaco
Leicester City,Inglaterra
Atalanta,Italia
Grêmio,Brasil
Atlético Mineiro,Brasil
RB Leipzig,Alemania
Ajax,Países Bajos
Dalian YiFang FC,China
Everton,Inglaterra
West Ham United,Inglaterra
1. FC Köln,Alemania
TSG 1899 Hoffenheim,Alemania
Shanghai SIPG FC,China
OGC Nice,Francia
Al Nassr,Arabia Saudita
Wolverhampton Wanderers,Inglaterra
Borussia Mönchengladbach,Alemania
Hertha BSC,Alemania
SV Werder Bremen,Alemania
Cruzeiro,Brasil
Athletic Club de Bilbao,España
Torino,Italia
Medipol Başakşehir FK,Turquía
Beijing Sinobo Guoan FC,China
Crystal Palace,Inglaterra
PFC CSKA Moscow,Rusia
VfL Wolfsburg,Alemania
Shakhtar Donetsk,Ucrania
Toronto FC,Canadá
Lokomotiv Moscow,Rusia
Sassuolo,Italia
New York City FC,Estados Unidos
Fluminense,Brasil
PSV,Países Bajos
Levante UD,España
Fulham,Inglaterra
Watford,Inglaterra
Atlanta United,Estados Unidos
Montpellier HSC,Francia
Galatasaray SK,Turquía
Fenerbahçe SK,Turquía
SD Eibar,España
Los Angeles FC,Estados Unidos
Sampdoria,Italia
Al Hilal,Arabia Saudita
VfB Stuttgart,Alemania
SC Braga,Portugal
River Plate,Argentina
Deportivo Alavés,España
Agente Libre,No aplica
Eintracht Frankfurt,Alemania
Girona FC,España
Guangzhou R&F FC,China
Burnley,Inglaterra
Stoke City,Inglaterra
Southampton,Inglaterra
Tianjin Quanjian FC,China
Getafe CF,España
Beijing Renhe FC,China
Montreal Impact,Canadá
Chievo Verona,Italia
Genoa,Italia
Portland Timbers,Estados Unidos
Tigres U.A.N.L.,México
RCD Espanyol,España
Hebei China Fortune FC,China
Cagliari,Italia
Chicago Fire,Estados Unidos
DC United,Estados Unidos
Sagan Tosu,Japón
Dynamo Kyiv,Ucrania
Santos,Brasil
Internacional,Brasil
América FC (Minas Gerais),Brasil
Independiente,Argentina
Boca Juniors,Argentina
Cruz Azul,México
1. FSV Mainz 05,Alemania
Bournemouth,Inglaterra
Spartak Moscow,Rusia
Racing Club,Argentina
FC Augsburg,Alemania
Fiorentina,Italia
FC Nantes,Francia
Feyenoord,Países Bajos
Club Brugge KV,Bélgica
Brighton & Hove Albion,Inglaterra
Al Ahli,Arabia Saudita
Jiangsu Suning FC,China
SC Freiburg,Alemania
PAOK,Grecia
Stade Rennais FC,Francia
Trabzonspor,Turquía
SPAL,Italia
Portimonense SC,Portugal
Olympiacos CFP,Grecia
Club Atlético Huracán,Argentina
Kasimpaşa SK,Turquía
Newcastle United,Inglaterra
Frosinone,Italia
Querétaro,México
KRC Genk,Bélgica
Hannover 96,Alemania
Stade Malherbe Caen,Francia
Godoy Cruz,Argentina
Toulouse Football Club,Francia
RSC Anderlecht,Bélgica
Huddersfield Town,Inglaterra
CD Tondela,Portugal
Seattle Sounders FC,Estados Unidos
Hamburger SV,Alemania
FC Red Bull Salzburg,Austria
Rio Ave FC,Portugal
FC Girondins de Bordeaux,Francia
Melbourne Victory,Australia
Parma,Italia
FC Basel 1893,Suiza
Al Wehda,Arabia Saudita
BSC Young Boys,Suiza
KAA Gent,Bélgica
Al Ittihad,Arabia Saudita
Standard de Liège,Bélgica
Shanghai Greenland Shenhua FC,China
Colo-Colo,Chile
Junior FC,Colombia
West Bromwich Albion,Inglaterra
RC Strasbourg Alsace,Francia
Göztepe SK,Turquía
Deportivo Cali,Colombia
Deportivo Toluca,México
Bologna,Italia
Nagoya Grampus,Japón
Amiens SC,Francia
Changchun Yatai FC,China
Club Atlético Lanús,Argentina
Botafogo,Brasil
Club América,México
Udinese,Italia
Real Valladolid CF,España
CD Leganés,España
Club Atlético Banfield,Argentina
Celtic,Escocia
Vitória Guimarães,Portugal
FC København,Dinamarca
UD Las Palmas,España
Deportivo de La Coruña,España
Universidad Católica,Chile
San Lorenzo de Almagro,Argentina
Rayo Vallecano,España
Monterrey,México
Columbus Crew SC,Estados Unidos
MKE Ankaragücü,Turquía
Guizhou Hengfeng FC,China
Swansea City,Gales
Tianjin TEDA FC,China
Chongqing Dangdai Lifan FC SWM Team,China
AEK Athens,Grecia
Al Taawoun,Arabia Saudita
Melbourne City FC,Australia
En Avant de Guingamp,Francia
Akhisar Belediyespor,Turquía
Foggia,Italia
LOSC Lille,Francia
1. FC Nürnberg,Alemania
Clube Sport Marítimo,Portugal
