Club,Jugadores_Atipicos,Media_Edad_Atipicos,Mediana_Salario_Atipicos
Agente Libre,181,26.92265193370166,0.0
Manchester United,13,25.53846153846154,110000.0
West Ham United,13,28.076923076923077,66000.0
Valencia CF,12,24.833333333333332,34500.0
Borussia Dortmund,11,24.727272727272727,50000.0
Villarreal CF,11,27.727272727272727,34000.0
Athletic Club de Bilbao,11,27.363636363636363,26000.0
Leicester City,11,25.818181818181817,50000.0
Roma,10,26.3,73000.0
Milan,10,25.0,85000.0
Real Betis,10,27.7,29500.0
Napoli,9,25.0,60000.0
Sevilla FC,9,29.0,21000.0
Liverpool,9,25.444444444444443,99000.0
Burnley,9,28.333333333333332,56000.0
Girona FC,9,25.666666666666668,28000.0
Getafe CF,9,26.77777777777778,23000.0
FC Schalke 04,9,27.0,33000.0
Borussia Mönchengladbach,9,25.22222222222222,27000.0
Wolverhampton Wanderers,9,23.22222222222222,43000.0
Sporting CP,9,28.22222222222222,16000.0
Real Sociedad,9,23.555555555555557,23000.0
Ajax,8,25.5,19000.0
Be?ikta? JK,8,28.5,48500.0
Everton,8,26.625,84000.0
RCD Espanyol,8,28.25,25000.0
Paris Saint-Germain,8,25.375,58000.0
Arsenal,8,28.0,107000.0
Chelsea,8,25.5,96000.0
Inter,8,27.375,63500.0
FC Augsburg,8,25.625,22500.0
Tottenham Hotspur,7,25.142857142857142,87000.0
Manchester City,7,22.857142857142858,84000.0
Hertha BSC,7,23.285714285714285,17000.0
Eintracht Frankfurt,7,28.571428571428573,32000.0
SD Eibar,7,29.142857142857142,23000.0
Galatasaray SK,6,26.166666666666668,52000.0
Spartak Moscow,6,28.166666666666668,1000.0
SL Benfica,6,25.5,14000.0
RC Celta,6,27.5,20500.0
Olympique Lyonnais,6,22.833333333333332,47500.0
Lazio,6,27.333333333333332,52000.0
TSG 1899 Hoffenheim,6,25.666666666666668,38000.0
Juventus,6,26.166666666666668,95000.0
Crystal Palace,6,26.166666666666668,54500.0
Atalanta,6,28.166666666666668,28000.0
Atlético Madrid,6,25.5,59000.0
FC Barcelona,6,24.166666666666668,125000.0
AS Monaco,5,22.6,47000.0
Club Brugge KV,5,23.8,20000.0
Deportivo Alavés,5,26.4,25000.0
Levante UD,5,26.4,22000.0
Hamburger SV,5,22.8,12000.0
FC Porto,5,24.6,13000.0
Feyenoord,5,22.2,12000.0
Boca Juniors,5,26.0,26000.0
Antalyaspor,5,27.6,10000.0
Lokomotiv Moscow,5,31.0,1000.0
PSV,5,22.0,11000.0
Real Madrid,5,21.2,110000.0
RB Leipzig,5,25.4,45000.0
Newcastle United,5,27.4,46000.0
SC Braga,5,26.4,15000.0
Southampton,5,23.8,51000.0
SV Werder Bremen,5,30.4,24000.0
Torino,5,28.6,42000.0
VfB Stuttgart,5,23.2,26000.0
