,Nombre,Edad,Club,Grupo_Posicion,Nacionalidad,Valoracion_General,Potencial,Valor_Mercado,Salario,Arquetipo_Atipico,Indice_Rendimiento,Ratio_Valor_Rendimiento,ZScore_Altura_cm,ZScore_Fuerza
76,Iniesta,34,Vissel Kobe,Atacante,Spain,86,86,21500000,21000,['Maestro Veterano'],80.5,3.74053232932799e-06,-1.6239952662261046,-0.6177889269260772
109,Z. Ibrahimovi?,36,LA Galaxy,Atacante,Sweden,85,85,14000000,15000,['Maestro Veterano'],86.16666666666667,6.148174136174994e-06,2.230737942080027,1.4759421351700777
152,A. Barzagli,37,Juventus,Defensor,Italy,84,84,4200000,95000,['Maestro Veterano'],84.83333333333333,1.9751644605748246e-05,0.8613640312073183,1.1677605649595093
226,M. de Ligt,18,Ajax,Defensor,Netherlands,82,91,27000000,11000,['Especialista Oculto'],82.0,3.0358001171448627e-06,0.8613640312073183,1.5457691996780747
227,Rodri,22,Atlético Madrid,Mediocampista,Spain,82,87,29000000,59000,['Especialista Oculto'],81.5,2.8046387417103566e-06,2.112537479928887,1.0824873415369516
228,Arthur,21,FC Barcelona,Mediocampista,Brazil,82,90,32500000,125000,['Especialista Oculto'],82.33333333333333,2.5236269979986614e-06,-1.3790405701656694,0.026316933140571867
230,Rosberto Dourado,30,Atlético Mineiro,Mediocampista,Brazil,82,82,16500000,46000,"['Especialista Oculto', 'Especialista Oculto']",81.0,4.895442711504732e-06,-0.5061460576420328,0.5137801985542856
231,Juiano Mestres,34,Cruzeiro,Defensor,Brazil,82,82,6500000,39000,['Especialista Oculto'],80.66666666666667,1.2336237089834773e-05,-0.37392927994795944,0.7897519302409441
233,Gelson Martins,23,Atlético Madrid,Mediocampista,Portugal,82,87,29500000,59000,['Especialista Oculto'],82.83333333333333,2.8023048997269338e-06,-0.942593313903851,-1.11109735282476
236,Malcom,21,FC Barcelona,Atacante,Brazil,82,89,31500000,140000,"['Especialista Oculto', 'Especialista Oculto']",80.33333333333333,2.5389801136015555e-06,-1.2385219453954925,-0.16913227076261544
238,L. Hernández,22,Atlético Madrid,Defensor,France,82,88,25500000,53000,['Especialista Oculto'],79.83333333333333,3.1242253437603406e-06,0.03783515710379826,0.5062454542020202
239,C. Lenglet,23,FC Barcelona,Defensor,France,82,88,26000000,135000,['Especialista Oculto'],81.0,3.099292018393265e-06,0.44959959415555595,0.8842540889205854
241,A. Robertson,24,Liverpool,Defensor,Scotland,82,87,24500000,98000,"['Especialista Oculto', 'Especialista Oculto']",75.16666666666667,3.0558038706749653e-06,-0.7856937169997171,-0.4387761325943931
242,Dani García,28,Athletic Club de Bilbao,Mediocampista,Spain,82,83,20000000,33000,['Especialista Oculto'],78.0,3.893575405901492e-06,0.3667484548816088,1.0824873415369516
243,F. Bernardeschi,24,Juventus,Mediocampista,Italy,82,87,29500000,110000,"['Especialista Oculto', 'Especialista Oculto']",83.0,2.80310696375863e-06,1.2396429674052454,0.10756081070952414
245,D. Rugani,23,Juventus,Defensor,Italy,82,86,24500000,95000,['Especialista Oculto'],82.66666666666667,3.3611166214901423e-06,1.273128468259076,0.7897519302409441
246,Samu Castillejo,23,Milan,Mediocampista,Spain,82,86,29000000,94000,['Especialista Oculto'],75.83333333333333,2.6064938037684584e-06,0.803195711143427,-0.9486095976868555
247,João Cancelo,24,Juventus,Defensor,Portugal,82,88,25500000,95000,"['Especialista Oculto', 'Especialista Oculto']",74.5,2.910724637205523e-06,0.03783515710379826,-0.4387761325943931
248,A. Romagnoli,23,Milan,Defensor,Italy,82,89,26500000,84000,['Especialista Oculto'],82.16666666666667,3.0908314616248573e-06,0.8613640312073183,0.9787562476002267
249,T. Partey,25,Atlético Madrid,Mediocampista,Ghana,82,88,25500000,59000,"['Especialista Oculto', 'Especialista Oculto']",79.83333333333333,3.123491928864251e-06,1.2396429674052454,1.5699506069506652
250,Fred,25,Manchester United,Mediocampista,Brazil,82,84,26500000,140000,['Especialista Oculto'],82.5,3.0968467305988464e-06,-1.3790405701656694,-0.05492694442838041
