,Nombre,Edad,Club,Grupo_Posicion,Nacionalidad,Valoracion_General,Potencial,Valor_Mercado,Salario,Arquetipo_Atipico,Indice_Rendimiento,Ratio_Valor_Rendimiento,ZScore_Altura_cm,ZScore_Fuerza
76,Iniesta,34,Vissel Kobe,Atacante,Spain,86,86,21500000,21000,['Maestro Veterano'],80.5,3.74E-06,-1.623995266,-0.617788927
109,Z. Ibrahimovi?,36,LA Galaxy,Atacante,Sweden,85,85,14000000,15000,['Maestro Veterano'],86.16666667,6.15E-06,2.230737942,1.475942135
152,A. Barzagli,37,Juventus,Defensor,Italy,84,84,4200000,95000,['Maestro Veterano'],84.83333333,1.98E-05,0.861364031,1.167760565
226,M. de Ligt,18,Ajax,Defensor,Netherlands,82,91,27000000,11000,['Especialista Oculto'],82,3.04E-06,0.861364031,1.5457692
227,Rodri,22,Atlético Madrid,Mediocampista,Spain,82,87,29000000,59000,['Especialista Oculto'],81.5,2.80E-06,2.11253748,1.082487342
228,Arthur,21,FC Barcelona,Mediocampista,Brazil,82,90,32500000,125000,['Especialista Oculto'],82.33333333,2.52E-06,-1.37904057,0.026316933
230,Rosberto Dourado,30,Atlético Mineiro,Mediocampista,Brazil,82,82,16500000,46000,"['Especialista Oculto', 'Especialista Oculto']",81,4.90E-06,-0.506146058,0.513780199
231,Juiano Mestres,34,Cruzeiro,Defensor,Brazil,82,82,6500000,39000,['Especialista Oculto'],80.66666667,1.23E-05,-0.37392928,0.78975193
233,Gelson Martins,23,Atlético Madrid,Mediocampista,Portugal,82,87,29500000,59000,['Especialista Oculto'],82.83333333,2.80E-06,-0.942593314,-1.111097353
236,Malcom,21,FC Barcelona,Atacante,Brazil,82,89,31500000,140000,"['Especialista Oculto', 'Especialista Oculto']",80.33333333,2.54E-06,-1.238521945,-0.169132271
238,L. Hernández,22,Atlético Madrid,Defensor,France,82,88,25500000,53000,['Especialista Oculto'],79.83333333,3.12E-06,0.037835157,0.506245454
239,C. Lenglet,23,FC Barcelona,Defensor,France,82,88,26000000,135000,['Especialista Oculto'],81,3.10E-06,0.449599594,0.884254089
